contract_address,icon_url,market_cap,name,raised_token,raised_token_icon,trading_volume_24h
0x5c85d6c6825ab4032337f11ee92a72df936b46f6,https://static.four.meme/market/2e137116-1d6a-4ba6-804d-96bf2b90007615365277452673729219.jpg,"$158,833,715.5",mubarak,BNB,https://static.four.meme/market/68b871b6-96f7-408c-b8d0-388d804b34275092658264263839640.png,"$69,652,912.517"
0x3199a64bc8aabdfd9a3937a346cc59c3d81d8a9a,https://static.four.meme/market/cd5d84c4-1697-4148-ab68-d368bb056ded14615841836595935272.jpg,"$8,141,893.13",Mubarakah,BNB,https://static.four.meme/market/68b871b6-96f7-408c-b8d0-388d804b34275092658264263839640.png,"$29,140,596.333"
0xcaae2a2f939f51d97cdfa9a86e79e3f085b799f3,https://static.four.meme/market/10ae724f-4d43-439f-b5c2-043c24883a2610172856275821338012.png,"$22,136,380.833",Tutorial,BNB,https://static.four.meme/market/68b871b6-96f7-408c-b8d0-388d804b34275092658264263839640.png,"$22,041,502.314"
0x1415e784282e11f3972d98b28a4a07f89b82170d,https://static.four.meme/market/9411b80b-819f-49b5-b360-49616cceb70d5805422773863569682.png,"$824,756.817",Queenyi Mubarak,BNB,https://static.four.meme/market/68b871b6-96f7-408c-b8d0-388d804b34275092658264263839640.png,"$13,694,009.303"
0xdc06717f367e57a16e06cce0c4761604460da8fc,https://static.four.meme/market/596f8f9a-4a7d-4388-b0a0-3952a8fcd6a917873631661764561165.png,"$3,412,197.692",BNB Card,BNB,https://static.four.meme/market/68b871b6-96f7-408c-b8d0-388d804b34275092658264263839640.png,"$10,300,433.098"
0x3d4f0513e8a29669b960f9dbca61861548a9a760,https://static.four.meme/market/24ad6e82-9fac-43d0-9954-2cf0fd8663ee2456614852816547236.jpg,"$25,281,359.545",Banana For Scale,BNX,https://static.four.meme/market/1ca57e5f-0d35-4b62-87e2-7332b7422f7f12129969039190133364.png,"$9,458,675.778"
0xb75a7e8876df49a74cc4c76c6bda161a8ea4b483,https://static.four.meme/market/3063a50b-a6d7-4c77-8991-8e8ed6bfe8ca6887214616368249333.png,"$3,922,709.785",Binance's Palu,BNB,https://static.four.meme/market/68b871b6-96f7-408c-b8d0-388d804b34275092658264263839640.png,"$7,597,233.667"
0xc64b6af2d11ae5f908ea12f1c3d1888eb8ee5639,https://static.four.meme/market/7cff2ed0-7eb1-47eb-87c0-e47fa816c72b18133997594057464867.png,"$1,634,074.826",Mashallah,BNB,https://static.four.meme/market/68b871b6-96f7-408c-b8d0-388d804b34275092658264263839640.png,"$5,047,897.462"
0xc468acf451922712cf45af9801df89578b0418b4,https://static.four.meme/market/827655b2-85bf-4284-8056-5aa965dd535e4171984191522224177.png,"$5,033,671.133",DOODiPALS,USDT,https://static.four.meme/market/cb6b122b-4724-4490-8a94-28719b7a6d3013823940338020973518.png,"$4,384,981.926"
0x43e36a35d22636944ec4ec46cab358a2a4dcd321,https://static.four.meme/market/4592fcbb-22bf-44fc-af01-4ba7d91e8af610927797711595902365.png,"$1,535,072.625",Bambi-Nance,BNB,https://static.four.meme/market/68b871b6-96f7-408c-b8d0-388d804b34275092658264263839640.png,"$4,110,130.442"
0xa18bbdcd86e4178d10ecd9316667cfe4c4aa8717,https://static.four.meme/market/140a6ffe-f095-43b9-9b8b-b4c963474b8b2013221513018917238.png,"$3,908,456.39",BNBXBT,BNB,https://static.four.meme/market/68b871b6-96f7-408c-b8d0-388d804b34275092658264263839640.png,"$3,867,687.842"
0x35f60cc0c6dd96f88c5dc61113ae4aff7ee02983,https://static.four.meme/market/e0840af2-fed3-4694-902f-96850a8948757360315589943652997.png,"$1,511,482.35",Keep Building,BNB,https://static.four.meme/market/68b871b6-96f7-408c-b8d0-388d804b34275092658264263839640.png,"$3,258,636.901"
0xcf6ebd8deccfd3dceb83d5e3da2b926c08a7ecaa,https://static.four.meme/market/a6033251-67b3-4828-85a5-693abefcead98223137216488421065.png,"$258,188.394",Mubarak Broccoli,BNB,https://static.four.meme/market/68b871b6-96f7-408c-b8d0-388d804b34275092658264263839640.png,"$2,861,855.173"
0x997a58129890bbda032231a52ed1ddc845fc18e1,https://static.four.meme/market/ec14e00e-5942-4995-bd6d-f512833507556355629977948509032.jpg,"$35,726,033.213",SIREN,BNB,https://static.four.meme/market/68b871b6-96f7-408c-b8d0-388d804b34275092658264263839640.png,"$2,800,875.942"
0x12b4356c65340fb02cdff01293f95febb1512f3b,https://static.four.meme/market/2adfc5bb-7730-4f04-82f3-f17e2e2c2a455844784145709278989.png,"$14,197,424.629",Broccoli,BNB,https://static.four.meme/market/68b871b6-96f7-408c-b8d0-388d804b34275092658264263839640.png,"$2,754,136.306"
0x6d5ad1592ed9d6d1df9b93c793ab759573ed6714,https://static.four.meme/market/16113910-5fd1-4848-853d-02c7a88f14e0332047899901037737.png,"$33,473,843.103",CZ'S DOG,BNB,https://static.four.meme/market/68b871b6-96f7-408c-b8d0-388d804b34275092658264263839640.png,"$2,711,480.073"
0xa81afe5d5390e5b645d46097b5d2975f04a47ebb,https://static.four.meme/market/b462a943-5581-442f-a85d-64b6c6ea3e0414783022851241901204.jpeg,"$397,846.415",OG Mubarak,BNB,https://static.four.meme/market/68b871b6-96f7-408c-b8d0-388d804b34275092658264263839640.png,"$2,546,526.858"
0x8051a61319b7ff7010a200e39b30b9a084dbcb5f,https://static.four.meme/market/ce23ddfc-5981-426e-ab8d-e18812f98b762979760255859649422.jpg,"$1,956,459.702",camel,BNB,https://static.four.meme/market/68b871b6-96f7-408c-b8d0-388d804b34275092658264263839640.png,"$2,494,641.271"
0x24127d5f034bb3811cad4123a4ffc20a1f084f95,https://static.four.meme/market/e205da7a-06c0-418c-8f3f-7083e7264a757148918292287522528.jpg,"$278,492.296",Camel.,BNB,https://static.four.meme/market/68b871b6-96f7-408c-b8d0-388d804b34275092658264263839640.png,"$2,330,399.495"
0x6f3e5ba2b203b898443edd3dab73c44ab40cf2ec,https://static.four.meme/market/02980f86-d3eb-4d6c-9c93-f24f54d319606682835085827071221.png,"$24,888.782",ELON'S DOG,BNB,https://static.four.meme/market/68b871b6-96f7-408c-b8d0-388d804b34275092658264263839640.png,"$1,917,113.865"
